ulasan_st,label
"['edit', 'udah', 'abis', 'box', 'blm', 'haid', 'brapa', 'box', 'yaa', 'btw', 'sediihhh', 'pdhl', 'telat', 'blm', 'bulan']",negatif
"['sya', 'telat', 'minggu', 'tespack', 'hasil', 'negatif', 'minum', 'jamu', 'habis', 'bungkus', 'kali', 'minum', 'tpi', 'haid']",negatif
"['pas', 'semalem', 'minum', 'perut', 'bergelombangterus', 'sakit', 'kayak', 'haid', 'gitu', 'bentar']",negatif
"['jamu', 'bener', 'bener', 'bagus', 'bgt', 'dia', 'minum', 'kali', 'bener', 'bener', 'langsung', 'haid', 'telat', 'bulan']",positif
"['udah', 'abis', 'dus', 'reaksi', 'kudu', 'piye', 'tuuhhh']",negatif
"['habis', 'blum', 'haid', 'telat', 'bawa', 'dr']",negatif
"['hasil', 'udah', 'minum', 'kali']",negatif
"['udah', 'habis', 'obat']",negatif
"['cocok', 'minum', 'jamu', 'abis', 'minum', 'jamu', 'badan', 'karuan', 'kaya', 'sesak', 'gtu']",negatif
"['habis', 'bungkus', 'bom', 'nyeri']",negatif
"['cocok', 'lancar', 'bab', 'm']",negatif
"['ampuh', 'jamu', 'aq', 'telat', 'haid', 'bulan', 'minum', 'kali', 'besok', 'lgsg', 'haid', 'tp', 'kluarnya', 'dikit', 'perut', 'kram']",positif
"['darah', 'udah', 'minum', 'x', 'sesak', 'nafas', 'badan', 'lemes', 'karuankecewa']",negatif
"['minum', 'kapsul', 'hasil']",negatif
"['box', 'blm', 'het']",negatif
"['pengaruh', 'bos', 'beli', 'lg']",negatif
"['higienis', 'kapsul', 'rambut', 'panjaaaaang']",negatif
"['udah', 'minum', 'habis', 'kapsul', 'pengaruh']",negatif
"['obat', 'udh', 'abis', 'blm', 'jugakecepatan', 'kirim', 'standar']",negatif
"['manjur', 'banget', 'lho', 'gaess', 'beneran', 'minum', 'minggu', 'habis', 'tu', 'lancaarrr', 'flek', 'sakit', 'perut']",positif
"['bener', 'bener', 'ngefek', 'minum', 'langsung', 'haid', 'telat', 'hari', 'cuman', 'ngeflek', 'doang']",positif
['pelancar'],positif
['efek'],negatif
"['beneran', 'gefek', 'jamu', 'telat', 'langsung', 'lancar']",positif
"['udah', 'abis', 'minum', 'tpi', 'blum', 'telat', 'minggu']",negatif
"['blm', 'manfaat', 'udah', 'mnum', 'efek', 'mksh', 'gratis', 'bedak', 'basah', 'kak']",negatif
"['reaksi', 'kram', 'perut', 'minum']",negatif
"['reaksi', 'apa', 'minum', 'pack']",negatif
"['cocok', 'ampuh']",negatif
['ubah'],positif
"['da', 'efek', 'sma', 'skali']",negatif
"['cocok', 'telat', 'rekomendasi', 'jamu']",positif
"['efek', 'bener', 'nyata', 'jamu', 'oke']",positif
['reaksi'],negatif
"['maaf', 'ngasih', 'bintang', 'pengaruh', 'sedikit', 'mbak']",negatif
"['kapsul', 'uda', 'abis', 'bom', 'haid', 'jg', 'nggak', 'manjur']",negatif
"['ndak', 'pengaruh', 'sekli']",negatif
"['gk', 'manjur', 'tetep', 'bln', 'bln']",negatif
"['nga', 'efek', 'nyaa']",negatif
"['reaksi', 'punmalah', 'mah', 'sakit']",negatif
"['minum', 'jamu', 'haid']",negatif
"['ngefek', 'minum']",negatif
['khasiat'],negatif
"['minum', 'rutin', 'dlm', 'blm', 'emas', 'aman', 'kardus', 'thanks']",negatif
['lancar'],positif
"['minum', 'abis', 'bungkus', 'langsung', 'haid', 'bener', 'bener', 'manfaat', 'banget']",positif
"['udah', 'minum', 'rasa']",negatif
"['telat', 'haid', 'hr', 'alhamdulillah', 'minum', 'lgsg', 'lancar', 'kirim', 'cepat', 'bgt', 'thx']",positif
"['gk', 'efek']",negatif
"['udh', 'minum', 'haritapi', 'reaksi']",negatif
"['blm', 'khasiat', 'bad', 'sayablm', 'mens', 'udh', 'minum']",negatif
"['dtang', 'jg', 'haid', 'pdhal', 'habis', 'bukus', 'tespack', 'jg', 'negative', 'k']",negatif
"['dtang', 'jg', 'haid', 'pdhal', 'habis', 'bukus', 'tespack', 'jg', 'negative', 'm']",negatif
"['udah', 'habis', 'kemas', 'blm', 'bulansolusinya', 'nambah', 'kemas']",negatif
"['minum', 'rutin', 'habis', 'box', 'blm', 'dtg', 'bln']",negatif
"['manjur', 'saya']",negatif
"['udah', 'coba', 'minum', 'efek']",negatif
"['kasih', 'ulas', 'karna', 'nyoba', 'allhmdulillah', 'udah', 'minum', 'haid', 'badan', 'gel', 'kayak']",positif
"['udah', 'habis', 'box', 'haid']",negatif
"['coba', 'istri', 'keluh', 'sakit', 'perut', 'nyeri', 'pinggang', 'antuk', 'minum', 'pil']",negatif
"['pelancar', 'haid']",positif
"['bantu', 'lancar', 'haid']",positif
"['hilang', 'nyeri', 'haid']",positif
"['pelancar', 'mens']",positif
"['udah', 'habis', 'bungkus', 'efeknyaa']",negatif
"['jamu', 'bagus', 'efektif', 'telat']",positif
['efek'],negatif
['khasiat'],negatif
"['mantap', 'manjur', 'banget']",positif
"['khasiat', 'udh', 'dmnum', 'smpe', 'habis', 'menstruasi', 'jg', 'yaa', 'hrus', 'brp', 'bnkus', 'bsa', 'lancar', 'haid']",negatif
"['blm', 'khasiat', 'bad', 'sayablm', 'mens', 'udah']",negatif
"['blom', 'hasil']",negatif
"['lumayan', 'efektif']",positif
"['blm', 'kliatan', 'khasiat', 'ud', 'minum', 'x']",negatif
['efek'],negatif
"['pelancar', 'haid']",positif
"['jamu', 'manjur', 'haid', 'ku', 'lancar']",positif
"['udah', 'minum', 'habis', 'box', 'tp', 'g', 'ad', 'hasil']",negatif
"['udah', 'abis', 'gk', 'reaksi', 'ap']",negatif
"['bln', 'blm', 'haidtespek', 'negatifjamu', 'sy', 'minum', 'x', 'hari', 'kapsul', 'sesuai', 'aturansampe', 'hr', 'jamu', 'hbs', 'blm', 'haid', 'juganunggu', 'm']",negatif
"['ak', 'dah', 'coba', 'minum', 'kapsul', 'lngsung', 'haidpadahl', 'beli', 'bokssisa', 'dech', 'ak', 'telat', 'hr', 'lngsung', 'haid']",positif
"['telat', 'haid', 'minum', 'habis', 'pack', 'blm', 'reaksi']",negatif
"['jafi', 'mnum', 'jamu', 'sampe', 'minum', 'gpp', 'besok', 'mnum', 'langdung', 'muntah', 'lanjutin']",negatif
"['nggak', 'ngaruh', 'minum', 'jamu', 'udah', 'minggu', 'smpe', 'skrng', 'blm', 'haid']",negatif
"['pakek', 'g', 'ubah', 'kayak', 'g', 'minum', 'g', 'cocok', 'cocok']",negatif
"['cock', 'reaksi', 'sedih']",negatif
"['beli', 'oke', 'banget', 'kotak', 'minum', 'langsung', 'plong', 'sampe', 'habis', 'kotak', 'ubah']",negatif
"['minum', 'box', 'sesuai', 'atur', 'pakai', 'ttp', 'lancar', 'haid', 'trimakasih']",negatif
['efek'],negatif
"['habis', 'sachet', 'ngefek', 'efek', 'udah', 'habis', 'bungkus']",negatif
"['br', 'minum', 'x', 'blom', 'reaksi']",negatif
"['ngaruh', 'banget', 'akubaru', 'minum', 'hari', 'udah', 'haid']",positif
"['ngefek', 'pdhal', 'udah', 'mo', 'hbis']",negatif
"['pack', 'ngefek', 'udah', 'minggu', 'haid']",negatif
"['blm', 'efek', 'obat', 'habis']",negatif
"['udh', 'abz', 'kotak', 'blm', 'haid', 'jg']",negatif
"['udh', 'habis', 'pack', 'blm', 'dateng']",negatif
"['efek', 'jamu']",negatif
"['kali', 'minum', 'langsung', 'manjur', 'bngt']",positif
"['mens', 'udah', 'minum']",negatif
"['ngaruh', 'kecewa']",negatif
"['cuba', 'blm', 'efek']",negatif
['hasil'],negatif
['efek'],negatif
"['nunggu', 'manjur', 'engga', 'engga', 'cocok', 'kali', 'yaaa']",negatif
"['baruu', 'x', 'minum', 'perubahm', 'siii', 'hasill', 'nanti', 'klarivikasi']",negatif
"['kerennnn', 'bangetttt', 'alhamdulillaahh', 'minum', 'eh', 'langsung', 'haid', 'bangetttt']",positif
"['lumayan', 'pengaruh', 'lancar', 'menstruasi', 'telaten']",positif
"['efek', 'udh', 'minum', 'tpi', 'ttep', 'msh', 'blom', 'haid']",negatif
"['ampuhh', 'banget', 'maaf', 'review', 'udh', 'telat', 'minggu', 'trus', 'minum', 'sm', 'rutin', 'minum', 'wedang', 'jahe', 'alhamdulilah', 'dtng']",positif
"['so', 'far', 'udah', 'abis', 'box', 'tp', 'efek', 'udh', 'mixed', 'bubuk']",negatif
"['alhamdulillah', 'langsung', 'lancar', 'haid']",positif
"['udah', 'nyoba', 'ngga', 'dapetsih']",negatif
"['mempan', 'haid', 'cocok']",negatif
"['ngefek', 'haid']",negatif
"['jamu', 'manjur', 'sekalicocok', 'telat']",positif
"['g', 'mempan', 'jamu']",negatif
"['serius', 'jamu', 'manjur', 'banget', 'top', 'pokok']",positif
"['efek', 'jamu', 'cepat', 'telat', 'lancar', 'banget', 'haid']",positif
"['ubah', 'apa']",negatif
"['emang', 'jamu', 'bagus', 'banget', 'mens', 'atur']",positif
"['minum', 'pagi', 'sore', 'reaksi']",negatif
"['udah', 'x', 'pesan', 'emang', 'cocok', 'deh', 'makasih']",positif
"['jamu', 'efektif', 'banget', 'atas', 'nyeri', 'menstruasi', 'kirim', 'cepat', 'packing', 'rapi', 'mantap', 'ban']",positif
"['sengaja', 'kasih', 'nilai', 'tanggal', 'november', 'ken', 'khasiat', 'emang', 'bagus', 'sang']",positif
"['beli', 'pack', 'alhamdulillah', 'habis', 'pack', 'mens', 'kirim', 'cptr', 'bgt', 'beli', 'kemari', 'besok', 'dateng', 'masya', 'allah', 'neng', 'bgt']",positif
"['langgananampuh', 'telat', 'karna', 'gk', 'atur', 'respon', 'lancar', 'pengiramcepet', 'banget', 'ttim']",positif
"['haid', 'sakit', 'pdhl', 'sblm', 'lahir', 'udah', 'sakit', 'efek', 'muncul', 'jerawat', 'sblm', 'mens', 'tp', 'bnr', 'bersi']",positif
"['sengaja', 'kasih', 'nilai', 'obat', 'jamu', 'bener', 'manjur', 'ngebantu', 'udah', 'telat', 'mens', 'hari', 'efek', 'a']",positif
"['ampuh', 'telat', 'haid', 'minum', 'hari', 'kapsul', 'x', 'hari', 'kapsul', 'ta']",positif
"['haid', 'lancar', 'flek', 'x', 'minum', 'lgsg', 'lancar', 'bgt', 'bgs', 'dtg', 'bulan', 'ngga', 'traturkluar', 'flek', 'jamu', 'bener', 'dt']",positif
"['udah', 'keberapaaaaa', 'gt', 'order', 'manjur', 'gercep', 'aman', 'sampe', 'rumah', 'dapet', 'free', 'kl', 'lg', 'butuh', 'free']",positif
"['minum', 'abis', 'bungkus', 'langsung', 'haid', 'bener', 'bener', 'manfaat', 'banget', 'seri']",positif
"['pas', 'banget', 'jamu', 'abis', 'trus', 'besok', 'jelang', 'pagi', 'haid', 'kapsul', 'minum', 'enak']",positif
"['beli', 'efek', 'samping', 'haid', 'lancar']",positif
"['minum', 'kapsul', 'udh', 'lumayan', 'prubhan', 'udh', 'tanda', 'perut', 'nyeri', 'kayak', 'datng']",positif
"['alhamdulillah', 'pake', 'pelancar', 'haid', 'cocok', 'instant', 'ta']",positif
"['udah', 'habis', 'box', 'blm', 'tanda', 'haid']",negatif
"['minum', 'kali', 'langsung', 'lancar']",positif
"['beli', 'paket', 'trus', 'takut', 'bom', 'manjurakhirnya', 'beli', 'pas', 'paket', 'udah', 'eh', 'udah', 'pms', 'a']",positif
"['reaksi', 'apa', 'terimakasih', 'bonus', 'nyasaya', 'ampuh', 'minum', 'da', 'efek', 'mala']",negatif
"['alhamdulillah', 'udh', 'haid', 'skrg', 'haid', 'lancar', 'respon', 'seller', 'cepat', 'da']",positif
"['khasiat', 'bagus', 'butuh', 'proses', 'beli', 'udah', 'x', 'nyapokoknya', 'sip']",positif
"['jamu', 'manjur', 'sayacocok', 'haid', 'minumagar', 'haid', 'waktualhamdulilah', 'p']",positif
"['minum', 'langsung', 'efek', 'minum', 'flek', 'coklat', 'kemarin', 'haid', 'telat', 'ha']",positif
"['sengaja', 'buktiin', 'productnya', 'reviewdan', 'hasil', 'memuaskansaya', 'telat', 'haid', 'skrg', 'haid', 'lgalhamdulillah']",positif
"['tokcer', 'abis', 'minum', 'x', 'haid', 'lgsg', 'lancar', 'cma', 'flek', 'trs']",positif
"['mantap', 'dach', 'alhamdulillah', 'minum', 'kotak', 'udah', 'tokcer', 'niehehehehe']",positif
"['ampuh', 'banget', 'konsumsi', 'langsung', 'darah', 'wasw']",positif
"['alhamdulilah', 'obat', 'cocok', 'minum', 'box', 'halang', 'lancar', 'bulan', 'aman', 'y']",positif
"['bagus', 'jamu', 'tp', 'ngaruh', 'udah', 'abis', 'dus', 'pikir', 'seller', 'ramah', 'kirim', 'super', 'cepet']",negatif
"['sengaja', 'kasih', 'ulas', 'lambat', 'minum', 'kali', 'sesuai', 'anjur', 'pakai', 'alhamdulilah', 'nama', 'tamu', 'langsung']",positif
"['alhamdulillah', 'bungkus', 'udh', 'makasih', 'kak', 'manjur', 'seka', 'alhamdulillah']",positif
"['kemaren', 'pagi', 'nyoba', 'tp', 'nyeri', 'dikit', 'perut', 'masil', 'haid']",negatif
"['asli', 'bagus', 'banget', 'makasih', 'seller', 'haid', 'ku', 'lancar']",positif
"['produk', 'bagus', 'udah', 'beli', 'alhamdulillah', 'lancar']",positif
"['barang', 'bangett', 'minum', 'kotak', 'langsung', 'dapet', 'haidterimakasih', 'banyakk', 'kakkk', 'barang', 'selamat']",positif
"['minum', 'langsung', 'badan', 'udh', 'sakit', 'karna', 'haid', 'atur', 'skrg', 'enakeunn', 'mudah', 'tratu']",positif
"['udah', 'telat', 'minggu', 'minum', 'efek']",negatif
"['minum', 'resep', 'hasil', 'langsung']",positif
"['sengaja', 'ngasih', 'nilai', 'menjur', 'ndak', 'emang', 'manjur', 'akuu', 'a']",positif
"['bagusbagus', 'manfaat', 'orang', 'telat']",positif
"['minum', 'kali', 'manjur', 'banget', 'haid', 'lansung', 'lancar']",positif
"['telat', 'tgl', 'minum', 'jamu', 'pagi', 'siang', 'langsung', 'haid']",positif
"['sengaja', 'ngasih', 'ulas', 'diminumsangat', 'bantu', 'kakmksh', 'yaaabru', 'minum', 'pagi', 'malam', 'besokny']",positif
"['honest', 'review', 'banget', 'tgl', 'april', 'telat', 'udah', 'hari', 'pahadal', 'sbelumnya', 'telat', 'minum', 'x', 'l', 'hasil', 'lancar']",positif
"['beli', 'karna', 'telat', 'rutin', 'lancar', 'order', 'lancar', 'karna', 'gel', 'pe']",positif
"['khasiat', 'manjur', 'haid', 'pas', 'udah', 'henti', 'minum', 'layan', 'bagus', 'bintang']",negatif
"['obat', 'bagus', 'kali', 'makan', 'haid']",positif
"['produk', 'telat', 'haid']",positif
"['udah', 'repurchase', 'kali', 'manjur', 'banget', 'minum', 'langsung', 'haid', 'top']",positif
"['udah', 'habis', 'minum', 'pack', 'mas', 'halanganmens']",negatif
"['sampek', 'bom', 'haid', 'pil', 'gede']",negatif
"['kali', 'order', 'bener', 'recomend', 'langsung', 'haid', 'lancar']",positif
"['mantap', 'kapsul', 'minum', 'lgsg', 'haid']",positif
"['gk', 'efek', 'kirim', 'cepat', 'terimakasih']",negatif
"['muas', 'trimakasih', 'seller', 'sukses', 'recommended']",positif
"['udah', 'minum', 'hri', 'tpy', 'blumjuga', 'haid']",negatif
"['murah', 'guna', 'lancar', 'haid']",positif
"['in', 'beli', 'yng', 'emng', 'manjur', 'ne']",positif
"['hari', 'kapsul', 'langsung', 'haid', 'tetep', 'lanjutin', 'sampe', 'box', 'habis', 'krna', 'hr', 'haid', 'lendir']",positif
"['habis', 'bungkus', 'efek']",negatif
"['bagus', 'kualitas', 'jamu']",positif
"['bantu', 'melancatkain', 'haid', 'atur']",positif
['telat'],positif
"['khasiat', 'telat']",positif
"['bagus', 'minum', 'lancar', 'haid']",positif
"['lancar', 'haid']",positif
"['nampol', 'banget', 'asli', 'jamu']",positif
['ubah'],negatif
"['manjur', 'banget', 'sip']",positif
"['fektif', 'telat']",positif
"['khasiat', 'lancar', 'mens']",positif
"['lancar', 'haid', 'bagus', 'pokok', 'jamu']",positif
"['efek', 'jamu', 'enak']",negatif
"['manjur', 'cocok']",positif
"['manjurmantul', 'langgan', 'kurang', 'sakit', 'lancar', 'haid']",positif
"['pakai', 'efek']",negatif
"['lancar', 'haid']",positif
"['bantu', 'atas', 'lambat', 'haid']",positif
"['lancar', 'haid']",positif
['lambat'],positif
"['bagus', 'produk']",positif
['melancarakan'],positif
"['bagus', 'haid', 'atur']",positif
"['bagus', 'banget', 'jamu', 'lancar', 'haid']",positif
"['pelancar', 'haid', 'atur']",positif
"['efektif', 'mellancarkan', 'haid']",positif
"['manjur', 'habis', 'lgsg', 'haidrecomended', 'bgt', 'haid', 'atur']",positif
"['bru', 'minum', 'kali', 'langsung', 'gacor', 'haid', 'ku', 'lancar']",positif
"['alhamdulillah', 'jamu', 'cocok', 'habis', 'bungkus', 'haid', 'ku', 'langsung', 'dateng', 'telat']",positif
"['habis', 'resep', 'mens']",negatif
"['ampuh', 'banget', 'lancar', 'haid']",positif
"['atas', 'telat']",positif
"['bersih', 'rahim', 'lahir']",positif
"['lancar', 'menstruasi']",positif
"['bantu', 'atas', 'telat', 'haid']",positif
"['abis', 'minum', 'darah', 'tp', 'cm', 'banget', 'cm']",positif
"['kali', 'beli', 'alhamdulillah', 'cocok', 'kualitas', 'produk']",positif
"['reda', 'nyeri', 'haidmembantu', 'lancar', 'telat', 'haid']",positif
"['bantu', 'cepat', 'telat']",positif
['lancar'],positif
['khasiat'],positif
"['efektif', 'lancar', 'haid']",positif
['lancar'],negatif
"['alhamdulillah', 'cocok', 'bgt', 'jamu', 'badan', 'enak', 'pas', 'lg', 'bulan', 'dpt', 'bonus', 'jg']",positif
"['mesan', 'x', 'kemaren', 'ud', 'habis', 'pack', 'blm', 'khasiat']",negatif
"['harga', 'murah', 'kualitas', 'topp']",positif
"['lancar', 'haid', 'cocok', 'efektif']",positif
['efek'],negatif
"['ubah', 'tpi', 'coba']",negatif
"['haid', 'lancar']",positif
"['kualitas', 'produk', 'produk', 'original', 'harga', 'murah']",positif
"['lancar', 'mens']",positif
"['mantull', 'bagus', 'ok', 'pokok']",positif
"['obat', 'ampuh', 'bgt', 'malam', 'makan', 'pagi', 'langsg', 'mens']",positif
"['lancar', 'haid', 'atur']",positif
"['obat', 'ampuh', 'bgt', 'malam', 'makan', 'pagi', 'langsg', 'mens']",positif
"['jamu', 'minum', 'x', 'haid', 'langsung', 'lancar']",positif
"['muas', 'mantaaaapppp']",positif
"['bagus', 'khasiat']",positif
"['jamu', 'menjur', 'banget', 'terimakaih']",positif
"['produk', 'jamu', 'bagus', 'manjur']",positif
['hasil'],negatif
"['minum', 'habis', 'haid', 'pokok', 'jmunya', 'top', 'banget']",positif
"['sip', 'bngt', 'jamu', 'minum', 'pil', 'langsng', 'm', 'makasih', 'seller']",positif
"['beneran', 'baguus', 'jamu', 'sip']",positif
"['lancar', 'haid', 'cocok', 'telat']",positif
"['bagusssshaid', 'lancar', 'banget']",positif
"['muas', 'haid', 'lancar']",positif
"['sengaja', 'kasih', 'nilainunggu', 'reaksi', 'dulualhamdulillah', 'manjur', 'telat', 'hrminum', 'habis', 'dapet', 'haid', 'packing', 'rapiprivatepengiriman', 'cepet', 'bangetcuma', 'beli', 'bonusmakasih', 'seller']",positif
"['haid', 'lancar', 'terratur']",positif
"['efektif', 'banget', 'jamu', 'cocok', 'telat']",positif
"['manjur', 'banget', 'bagus', 'konsumsi']",positif
"['minum', 'kotak', 'blm', 'pengaruh']",negatif
"['tangan', 'telat']",positif
"['bener', 'ampuh', 'paket', 'dtg', 'jam', 'langsung', 'aq', 'minum', 'reaksi', 'cepat', 'banget', 'jam', 'langsung', 'lega', 'banget', 'terima', 'kasih', 'kak']",positif
"['efektif', 'telat', 'haid']",positif
"['cepat', 'haid']",positif
['telat'],positif
"['minum', 'langsung', 'darah', 'menstruasi', 'trimakasih', 'kakk']",positif
"['obat', 'ampuh', 'lancar', 'haid']",positif
"['jamu', 'telat']",positif
"['khasiat', 'mantapppp', 'ragu']",positif
"['barang', 'oke', 'kualitas', 'produk', 'bagus', 'kecewa']",positif
"['bener', 'bener', 'ampuh', 'banget']",positif
"['kualitas', 'produk', 'manjur', 'mens', 'lancar']",positif
"['jamu', 'luntur', 'bagus', 'manjur']",positif
"['cocok', 'produk', 'next', 'time', 'order']",positif
"['kualitas', 'produk', 'mens', 'lancar']",positif
"['neng', 'barang', 'bagus', 'mens', 'langsung', 'gacor']",positif
"['maaf', 'kasih', 'ulas', 'karna', 'coba', 'pake', 'alahdmulillah', 'manjur', 'bgt']",positif
"['manjur', 'top', 'banget']",positif
"['habis', 'box', 'manjur', 'terimakasih']",positif
"['khasiat', 'banget', 'jamu']",positif
"['kualitas', 'barang']",positif
"['ngefek', 'jamu', 'serius']",negatif
"['produk', 'original']",positif
"['lancarin', 'haid']",positif
"['gada', 'efek', 'jamu', 'sedih', 'banget']",negatif
"['pelancar', 'haid']",positif
"['manjur', 'lancar', 'haid']",positif
"['respon', 'jual', 'kirim', 'alhamdulillah', 'hbs', 'kapsul', 'blm', 'haid', 'hormon', 'bedaefek', 'kb', 'suntik', 'terima', 'kasih', 'seller']",negatif
"['produk', 'murah', 'harga', 'jamu', 'bener', 'bener', 'manjut', 'banget']",positif
"['minum', 'kali', 'haid', 'pdhl', 'udh', 'telat', 'minggubersyukur', 'banget', 'alhamdulillah', 'pokok', 'recommended']",positif
"['bagus', 'banget', 'udah', 'telat', 'bulan', 'minum', 'jamu', 'nifus', 'bu']",positif
"['minum', 'tanda', 'tanda', 'mens']",negatif
"['bagus', 'banget', 'minum', 'x', 'langsung', 'halang']",positif
"['bbrpa', 'kali', 'minum', 'lgsg', 'kluar', 'deras', 'nyeri', 'perut']",positif
"['asli', 'bagus', 'banget', 'obat', 'cocok', 'banget', 'telat', 'haid']",positif
"['lancar', 'haid', 'banget']",positif
"['manjurjamunya', 'gokil', 'banget']",positif
"['manjur', 'suka', 'produk', 'pastinyaa', 'repeat', 'order']",positif
"['ngga', 'hasil', 'hasil', 'individu', 'beda']",negatif
"['top', 'bangeeeeet', 'telat', 'bulan', 'lgsg', 'halang']",positif
"['minum', 'x', 'ngefek']",negatif
"['jamu', 'mens', 'lambat']",positif
"['minum', 'sesuai', 'anjur', 'produk', 'hari', 'x', 'kapsul', 'langsung', 'haid', 'esok']",positif
"['barang', 'terima', 'minum', 'habis', 'bungkus', 'blm', 'tanda', 'jg']",negatif
"['pahit', 'banget', 'jamu', 'enak']",negatif
"['mantap', 'minum', 'x', 'langsung']",positif
"['ngaruh', 'langsung', 'lancar', 'habis', 'bungkus']",positif
"['ngefek', 'jamu', 'nifas', 'udah', 'minum']",negatif
"['cocok', 'telat', 'haid', 'alami', 'keluh']",positif
"['efek', 'haid']",negatif
"['minum', 'langsung', 'deres']",positif
"['seger', 'banet', 'jamu']",positif
"['jamu', 'cocok', 'banget', 'alhamdulilah', 'kali', 'haid', 'telat', 'telat', 'ngalamin', 'gel', 'minum', 'pack', 'alhamdulilah', 'bantu', 'banget']",positif
"['langgan', 'cocok', 'atas', 'lambat']",positif
['jamu'],negatif
"['order', 'x', 'langsung', 'manjur', 'rekomen', 'deh', 'poko']",positif
"['telat', 'minum', 'pagi', 'harimalamnya', 'langsung', 'min']",positif
"['kecewa', 'banget', 'ngefek']",negatif
"['efek', 'sakit', 'perut']",negatif
"['top', 'markotop', 'pokok', 'minum', 'x', 'langsung', 'bocor']",positif
"['emng', 'termantul', 'coba', 'm', 'kapsul', 'sma', 'tuntas', 'ngefek', 'minum', 'bru', 'bungkus', 'udh', 'mens', 'dongsebagus']",positif
"['udah', 'habis', 'pack', 'tanda', 'haidh']",negatif
"['mantap', 'jamu', 'cocok', 'banget', 'lansung', 'manjur']",positif
"['bagus', 'bgt', 'bru', 'pake', 'udh', 'haid']",positif
"['mantul', 'bgt', 'selang', 'langsung', 'haid']",positif
"['bukti', 'bantu', 'lancar', 'haidterimakasih']",positif
"['sen', 'x', 'lansung', 'manjur']",positif
"['ubah', 'ngefek']",negatif
"['minum', 'hasil']",negatif
"['minum', 'hri', 'liat', 'hasil', 'nyahaid', 'deres']",positif
"['alhamdulillah', 'minum', 'langsung', 'telat', 'terimakasih']",positif
"['ngefek', 'habis', 'box']",negatif
"['udah', 'minum', 'reaksi']",negatif
"['enak', 'badan', 'nyeri', 'dapet', 'lancar']",positif
"['lancar', 'haid', 'bagus']",positif
"['udh', 'kali', 'kali', 'beli', 'dsini', 'langgan', 'banget', 'telat', 'dateng', 'manjur']",positif
"['pelancar', 'haid', 'cocok', 'banget']",positif
"['manjur', 'baget', 'lancar', 'haid', 'udah', 'haid']",positif
"['alhamdulillah', 'izin', 'alloh', 'swt', 'mnm', 'kali', 'hasil', 'mantul']",positif
"['manjur', 'udah', 'minum', 'sampe', 'obat', 'abis']",negatif
"['badan', 'panas', 'sakit', 'tidk', 'ngefek']",negatif
"['jamu', 'ampuh', 'udah', 'minum', 'rutin', 'box', 'hasil']",negatif
"['ngefek', 'bungkus', 'habis']",negatif
"['kasiatnya', 'kecewa']",negatif
"['habis', 'kotak', 'kasiat']",negatif
"['reaksi', 'guna']",negatif
"['udah', 'minum', 'minggu', 'hasil']",negatif
['lancar'],positif
"['cocok', 'minum', 'langsung', 'muntah', 'kayak', 'mabok', 'kebanyakn', 'dosis', 'sesuai', 'minum']",negatif
"['udah', 'minum', 'udah', 'abis', 'taip', 'hasil', 'telat', 'minggu']",negatif
"['perububahan', 'minum', 'rutin', 'badan', 'gemuk', 'bb', 'betis', 'paha', 'ngembang', 'nang', 'umur']",negatif
"['mantap', 'x', 'minum', 'lagsung', 'haid']",positif
"['efek', 'apa']",negatif
"['murah', 'bange', 'jamu', 'ngefeknya', 'bener', 'ngefek']",positif
['lancar'],positif
"['maaf', 'ngasih', 'ulasankarna', 'reaksi', 'obat', 'barang', 'tgl', 'juni', 'langsung', 'minum', 'jamu', 'inidan', 'tgl', 'agustus', 'haid', 'alhamdulillah', 'jamu', 'manjur']",positif
"['bagus', 'original', 'jamu', 'mantap', 'banget']",positif
"['cepet', 'sampeknyaa', 'packaging', 'rapih', 'dapet', 'bonus', 'jugaa', 'stelah', 'mnum', 'smpek', 'abis', 'trus', 'besok', 'mens', 'alhamdulillah', 'pdahal', 'telat', 'mens', 'minggu', 'pas', 'mens', 'bneran', 'jdi', 'sakit', 'pdahal', 'selal']",positif
"['udah', 'pake', 'jamu', 'manjur']",positif
"['cocok', 'banget', 'telat']",positif
"['udah', 'habis', 'kotak', 'mempan']",negatif
"['mantul', 'banget', 'produk', 'x', 'minum', 'haidperut', 'nyeri', 'darah', 'lancar', 'banget', 'terimakasih']",positif
"['top', 'banget', 'kali', 'minum', 'dah', 'deres', 'banget', 'badan', 'pegelpegel', 'minum', 'dah']",positif
"['manjur', 'minum', 'langsung', 'haid']",positif
"['habis', 'bungkus', 'hasil']",negatif
"['rekomdasikan', 'bngt', 'minum', 'lngsung', 'haid', 'insaalloh', 'order', 'lg', 'trimakasih', 'moga', 'toko', 'maju']",positif
"['trimakasih', 'kakakstelah', 'minum', 'abis', 'akirnya', 'tunggu']",positif
"['alhamdulillah', 'minum', 'langsung', 'bocorqodarulloh', 'trims', 'bonus']",positif
"['kayak', 'cocok', 'akutelat', 'mens', 'mnggu', 'hbs', 'bngkusgak', 'efek']",negatif
"['habis', 'kotak', 'ubah', 'haid']",negatif
"['hasil', 'udah', 'abis', 'dus']",negatif
"['udah', 'habis', 'bungkus', 'efek']",negatif
"['cocok', 'minum', 'rutin']",positif
"['emng', 'termantul', 'coba', 'm', 'kapsul', 'sma', 'tuntas', 'ngefek', 'minum', 'bru', 'bungkus', 'udh', 'mens', 'dongsebagus']",positif
