ulasan,label
"tidak ada reaksi apa"" cuma bikin kram perut selama minum 3 hari",negatif
tidak ada reaksi apapun padahal sudah minum 2 pack,negatif
kurang cocok se soal e gak ampuh buat aku,negatif
Belum juga ada perubahan,positif
ga da efek sma skali,negatif
"Cocok untuk yang sering telat datang bulan, saya rekomendasi ini jamu",positif
"Efeknya bener nyata, jamunya oke",positif
tidak ada reaksi,negatif
Maaf ya kalo cuma ngasih bintang 1.Gak ada pengaruh sedikitpun mbak,negatif
Kapsul uda abis belom haid jg. Nggak manjur ternyata..,negatif
Ndak pengaruh sama sekli... Mungkin ke saya aja,negatif
Gk manjur tetep bln datang bln,negatif
nga ada efek nyaa,negatif
gak ada reaksi apa pun.malah mah nya yg sakit,negatif
minum jamu tapi masih tidak haid,negatif
"gak ngefek, jangan di minum",negatif
tidak berkhasiat,negatif
"Diminum rutin 2×2 dlm 6 hari tapi blm datang bulan juga :( untuk pengemasan aman menggunakan kardus, thanks.",negatif
memperlancar datang bulan,positif
"Aku minum ini abis satu bungkus terus bisa langsung keluar haidnya, bener bener bermanfaat banget buat yang se",positif
Udah 2 hari minum tapi belum kerasa apa.,negatif
Telat haid 5hr alhamdulillah minum lgsg lancar. Pengiriman cepat bgt. Thx u🙏,positif
Gk ada efek di aku.,negatif
"udh d minum 2hari,tapi belum ada reaksi apa2.",negatif
"Blm ada khasiatnya dibadan saya,blm mens juga udh 2 hari minum",negatif
"belum dtang jg haidnya pdhal sdh habis 2 bukus n tespack jg negative , mungkin k",negatif
"belum dtang jg haidnya pdhal sdh habis 2 bukus n tespack jg negative , m",negatif
"Udah habis satu kemasan blm juga datang bulan,solusinya apa nambah 1 kemasan lagi",negatif
Sudah diminum rutin habis 1 box blm dtg bln juga sih..,negatif
Kurang manjur disaya,negatif
Udah dicoba minum tapi tidak ada efek,negatif
Baru kasih ulasan karna mau nyoba dulu Allhmdulillah udah minum 2 hari haid keluar badan gak pegel kayak biasa nya,positif
udah habis 2 box tapi masih belum haid 😮‍💨,negatif
"Ini baru dicoba sih cuma kok, istri saya mengeluh sakit perut dan nyeri pinggang serta mengantuk setelah minum pil nya",negatif
pelancar haid,positif
Membantu Melancarkan Haid,positif
menghilangkan nyeri saat haid,positif
untuk pelancar mens,positif
Udah habis dua bungkus tapi belum ada efeknyaa 😥,negatif
"Jamunya bagus, sangat efektif untuk yang sering telat datang bulan",positif
tidak ada efek sama sekali,negatif
lama khasiat nya,negatif
mantap manjur banget,positif
ga ada khasiat nya udh dmnum smpe habis ga menstruasi jg yaa hrus brp bnkus biar bsa lancar haid nya,negatif
"blm ada khasiatnya dibadan saya,blm mens juga udah 2 hari",negatif
blom ada hasil,negatif
lumayan cukup efektif,positif
blm kliatan khasiatnya ud minum 4x,negatif
belum ada efek,negatif
buat pelancar haid,positif
jamunya manjur haid ku jadi lancar,positif
udah minum habis 1 box tp g ad hasil....😔,negatif
"udah abis 4 gk ada reaksi ap""",negatif
"2bln blm haid,tespek negatif,jamu sy minum 2x sehari 4kapsul sesuai aturan,sampe 3hr jamunya sdh hbs blm haid juga,nunggu 1m",negatif
"Ak dah coba minum 6 kapsul lngsung haid.padahl belinya 3 boks,sisa banyak dech. Ak telat 10 hr . ini lngsung bisa haid.",positif
Saya telat haid setelah minum ini habis 2 pack blm ada reaksi juga,negatif
Aku ga jafi mnum jamunya .. pertama sampe minum gpp .. besoknya mnum aku langdung muntah2 jd ga aku lanjutin lagi :(,negatif
"Kalo di saya nggak ngaruh apa apa saya minum jamunya udah 2minggu yg lalu, smpe skrng blm haid :(",negatif
Saya pakek g ada perubahan sama sekali kayak g minum apa2 . G cocok buat saya. Gak cocok sama sekali,negatif
Tidak cock dan tidak ada reaksi nya.. sedih,negatif
Pertama beli oke banget.. 1kotak minum langsung plong. Sekarang sampe habis 5kotak tidak ada perubahan. ☹️,negatif
Sdh minum 2box (sesuai aturan cara pakai) ttp tdk lancar haidnya 🙏🏻🥺 .. trimakasih,negatif
sudah 2 hari ini belum ada efek,negatif
"habis berapa sachet ya supaya ngefek,, kok belum ada efek udah habis 2 bungkus",negatif
br minum 2x blom ada reaksi,negatif
Ngaruh banget di aku.baru minum sehari udah haid,positif
belum ngefek.. pdhal udah mo hbis,negatif
Satu pack belum ngefek udah 3 minggu ga haid,negatif
"blm ada efek, obat sudah habis",negatif
udh abz 2 kotak blm Haid jg,negatif
Udh habis 3 pack blm Dateng bulan juga 🥺,negatif
tidak ada efek sama sekali untuk jamunya,negatif
baru 1 kali minum langsung manjur bngt ..,positif
Belum mens juga udah 2 hari minum,negatif
"belum ngaruh sama sekali, kecewa",negatif
Sudah d cuba blm ada efeknya,negatif
Baru 2 hari belum ada hasil,negatif
Tidak ada efek apa² 🥲,negatif
"aku nunggu manjur apa engga, tapi ternyata di aku engga hehe mungkin cocok2an kali yaaa",negatif
Baruu 2x minum belum ada perubahm siii🧐🧐 setelah ada hasill nantii ada klarivikasi,negatif
"Kerennnn bangetttt alhamdulillaahh, 4hari minum eh langsung haid dan banyak bangetttt❤❤❤❤❤❤💙💙💙💙💙💙",positif
"Lumayan berpengaruh buat memperlancar menstruasi, harus telaten",positif
Udah mau habis 1 bungkus tp kok masih blm ada tanda2 yah Pesennya 2 bungkus mungkin klau udah habis dua baru ngefek mungkin.,negatif
"Enggak ada efeknya sama sekali, udh minum tpi ttep msh blom haid",negatif
"ampuhh banget, maaf baru review, udh telat 2 minggu trus minum ini sm rutin minum wedang jahe alhamdulilah dtng bulan juga👍",positif
So far udah abis 2 box tp belum ada efeknya padahal udh di mixed juga sama yg bubuk 😔,negatif
Alhamdulillah langsung lancar haidnya,positif
"Udah nyoba 3hari kok ngga dapet""sih🤕",negatif
Tidak mempan tidak haid tidak cocok,negatif
Kurang ngefek dan masih belum haid,negatif
belum ada efek full,negatif
"Jamunya sangat manjur sekali,cocok untuk yang telat datang bulan",positif
g mempan jamunya...😭,negatif
"Serius jamu ini manjur banget, top pokoknya",positif
"Efek jamunya benar cepat, saya telat jadi lancar banget haidnya",positif
Tdk ada perubahan apapun😢,negatif
"Emang jamunya bagus banget, mens saya jadi teratur",positif
"Baru minum pagi 4 sore 4 , belum ada reaksi",negatif
"Udah 2x pesan emang cocok deh , makasih yah 😇🙏",positif
Jamu nya efektif banget buat mengatasi rasa nyeri saat menstruasi. Pengiriman cepat dan packing nya juga rapi. Mantap ban,positif
"Sengaja baru kasih penilaian tanggal 8 November ini, karena pengen tau dulu khasiatnya. Dan ternyata emang sebagus itu, sang",positif
Beli 2 pack alhamdulillah habis 1 pack sudah mens.... Pengiriman cptr bgt beli kemari nya besoknya dateng.. Masya Allah.. Seneng bgt,positif
Sudah langganan.ampuh untuk ibu yang telat datang bulan karna gk teratur selalu respon baik lancar pengiramcepet banget ttim,positif
"Haid malah lebih sakit pdhl sblm lahiran udah ga sakit, selain itu efeknya jadi muncul jerawat2 juga sblm mens. Tp bnr2 jadi bersi",positif
"sengaja baru kasih penilaian , dan obat jamu ini bener2 manjur untuk ngebantu aku yg udah telat mens 4 harian. untuk efeknya di a",positif
"ampuh sekali di aku😍 aku telat haid 31 hari, minum ini selama 5 hari, sehari 4 kapsul (seharusnya 2x sehari 4 kapsul ta",positif
"Haid tdk lancar, flek. Baru 3x minum lgsg lancar bgt. Bgs utk yg dtg bulannya ngga tratur/kluar flek2 aja. Jamunya bener2 bikin dt",positif
"Udah keberapaaaaa gt order di sini, manjur, gercep, aman sampe rumah, dapet free juga, tau aja kl aku lg butuh yg free nya itu",positif
"Aku minum ini abis satu bungkus terus bisa langsung keluar haidnya, bener bener bermanfaat banget buat yang seri",positif
"Pas banget jamunya abis trus besok menjelang pagi aku haid
  Karena kapsul minumnya enak",positif
Sudah beli kedua disini dan sejauh ini tidak ada efek samping dan haid menjadi lancar,positif
Aku minum 1 kapsuL udh Lumayan ada prubhan udh tanda² perut aku nyerii kayak mau datng bulan .,positif
"Alhamdulillah sih,, selalu pake ini buat pelancar haid dan cocok.. Semua tidak ada yang instant.. Ta",positif
Saya udah habis 1 box blm ada tanda² mau haid...,negatif
aku minum belom ada hasilnya :(,negatif
Aku baru minum 4 kali. langsung lancar,positif
"Awalnya aku beli 1paket trus aku takut belom manjur,akhirnya beli lagi 2 dong nah pas paket yg kedua udah datang eh udah pms a",positif
"Tidak ada reaksi apapun terimakasih untuk bonus nya,saya kira ampuh sudah minum selama 3 hari tidak ada da efek apa mala",negatif
"Alhamdulillah udh 5 bulan tdk haid skrg bisa haid dan lancar,, respon seller cepat da",positif
"khasiatnya bagus ,tetapi butuh proses ,saya beli udah yang ke 2 x nya.pokoknya sip",positif
"Jamu sangat manjur untuk saya,Cocok di saya. Belum waktunya haid sudah saya minum.agar haid tepat waktu.alhamdulilah 1 p",positif
"minum hari pertama langsung ada efeknya, hari ke 3 minum keluar flek coklat dan kemarin sudah haid padahal sebelumnya telat ha",positif
Saya sengaja mau buktiin productnya dulu baru buat review..dan hasilnya sangat memuaskan...saya telat haid 2bulan skrg sdh haid lg..alhamdulillah,positif
Tokcer abis. Minum 3x haid lgsg lancar. Yg awal cma flek2 trs,positif
Mantap dach. Alhamdulillah minum baru satu kotak udah tokcer nie...hehehehe..,positif
"Ampuh banget,, baru 2hari konsumsi langsung keluar darahnya😅 sempat wasw",positif
Alhamdulilah ya obat ini cocok di saya setelah minum 4box untuk awal halangan saya jadi lancar setiap bulannya ini aman y,positif
"bagus jamu nya tp di aku gak ngaruh udah abis 3 dus mungkin krn banyak pikiran juga seller ramah, pengiriman super cepet",negatif
"Sengaja kasih ulasan lambat, setelah minum 3 kali, sesuai anjuran pemakaian,, Alhamdulilah yang namanya tamu langsung datang",positif
Alhamdulillah baru satu bungkus udh datang bulan saya makasih kak manjur sekai Alhamdulillah,positif
"Kemaren pagi aja baru nyoba, tp bikin nyeri dikit di perut. masil belum haid",negatif
Asli bagus banget makasih ya buat seller nya😊 haid ku jadi lancar,positif
Produk ini sangat bagus Udah pernah sekali beli disini dan Alhamdulillah lancar,positif
"Barang baik bangett minum satu kotak langsung dapet haid,terimakasih banyakk kakkk barang juga sampai dengan selamat dan",positif
"2 hari minum langsung keluar, yg tadinya badan udh pada sakit karna haid sering teratur skrg enakeunn , mudah2an terus tratu",positif
Udah telat 2 Minggu baru minum 1.5 hari tapi gak ada efek,negatif
minum 1 resep hasilnya langsung datang bulan .,positif
"Sengaja sih baru ngasih penilaian soalnya mau tau dulu menjur apa ndak, Ternyata emang manjur di akuu, a",positif
Bagus-bagus amat sangat bermanfaat sekali untuk diketahui oleh orang lain yang telat datang bulan,positif
"Baru aja minum beberapa kali sudah manjur banget, haid lansung lancar",positif
"Aku telat 13 hari, tgl 14 aku minum jamu ini pagi dan siangnya langsung haid",positif
"sengaja ngasih ulasan setelah diminum🥰sangat membantu sekali kak...mksh yaaa...bru minum pagi dan malam, besokny",positif
"honest review banget tgl 2 april 2022, aku telat udah 5 harian pahadal sbelumnya gak pernah telat selama ini terus minum 3x l hasilnya lancar lagi",positif
Dulu pernah beli karna sering telat datang bulan setelah rutin jadi lancar sekarang order lagi biar lancar karna juga sering pegel pe,positif
"Klo di aku khasiatnya biasa aja ga terlalu manjur, keluar haidnya pas udah berhenti minum ini. Tapi secara pelayanan bagus (bintang 5)",negatif
"Obatnya sangat bagus, baru tiga kali makan sudah keluar haid nya,,🤗",positif
Produk sangat baik untuk yg telat haid,positif
"Udah repurchase berkali2, manjur banget minum hari ini, 3 hari kemudian langsung haid top",positif
Udah habis minum 2 pack tapi masi belum halangan/mens,negatif
Sampek sekarang belom haid... Pilnya gede2...,negatif
"Sudah 2 kali ini order disini, bener* recomend👍👍👍 langsung haid jadi lancar",positif
"Mantap kapsul nya, minum hari kedua lgsg haid.",positif
"Gk ada efek di aku. Pengiriman sangat cepat, terimakasih",negatif
Sangat memuaskan... Trimakasih seller sukses selalu... Recommended...,positif
Udah minum 4hri tpy blum.juga haid .,negatif
Sangat murah dan Berguna sekali untuk melancarkan haid,positif
In pembelian yng ke2 emng benar2 manjur ne kamu❤🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,positif
"Sehari 8kapsul, Langsung haid. Tetep aku lanjutin sampe 1 box habis krna cuma buat 3hr. Di hari pertama haid keluar lendir",positif
sudah habis 4 bungkus tetapi tidak ada efek apa apa,negatif
bagus dan berkualitas,positif
Membantu melancatkain haid yang tidak teratur,positif
utk telat datang bulan,positif
khasiat untuk yg telat datang bulan,positif
sangat bagus untuk di minum melancarkan haid,positif
memperlancar haid,positif
nampol banget asli jamunya,positif
belum ada perubahan,negatif
"manjur banget, sip",positif
sangat fektif untuk yg telat datang bulan,positif
berkhasiat melancarkan mens,positif
perlancar haid,positif
"tidak ada efek apa apa, jamunya juga tidak enak",negatif
manjur di aku cocok,positif
Manjur...mantul dan Sudah langganan. mengurangis rasa sakit melancarkan haid,positif
Pemakaian pertama belum ada efek sama sekali,negatif
untuk melancarkan haid,positif
Membantu mengatasi terlambat haid,positif
untuk memperlancar haid,positif
untuk terlambat datang bulan,positif
baik bagus produk ini,positif
melancarakan datang bulan,positif
"bagus, haid menjadi teratur",positif
bagus banget jamunya melancarkan haid,positif
pelancar haid tdk teratur,positif
sangat efektif untuk mellancarkan haid,positif
"manjur habis 2 pak lgsg haid,recomended bgt biar haid teratur",positif
"bru minum 1 kali, langsung gacor haid ku lancar",positif
"Alhamdulillah jamunya cocok di aku, habis 1 bungkus haid ku langsung dateng yg tadinya telat 2bulan lebih 👍",positif
habis 1 resep belum mens juga,negatif
ampuh banget untuk melancarkan haid,positif
mengatasi telat bulan,positif
membersihkan rahim setelah melahirkan,positif
memperlancar menstruasi,positif
membantu mengatasi telat haid,positif
Setelah abis aku minum keluar darah tp cm sedikit banget dan cm 1 hari aja 😣😣😣,positif
"Sudah 2 kali beli disini alhamdulillah cocok, kualitas produk sangat baik",positif
"meredakan nyeri haid,membantu melancarkan telat haid",positif
membantu mempercepat telat datang bulan,positif
untuk melancarkan datang bulan,positif
Sangat berkhasiat,positif
efektif melancarkan haid,positif
sudah 3 hari masih belum lancar,negatif
Alhamdulillah cocok bgt sama jamu disini.. badan jadi enakan pas lg bulanan.. dan pasti dpt bonus jg,positif
"Pemesanan yg ke 2x, kemaren ud habis 2 pack masih blm ada khasiatnya",negatif
harga murah kualitas topp,positif
melancarkan haid cocok dan efektif,positif
masih belum ada efek,negatif
"belum ada perubahan, tpi dicoba aja dulu",negatif
buat haid yg ga lancar,positif
Kualitas produk sangat baik. Produk original. Harga murah.,positif
melancarkan mens,positif
"mantull bagus ,ok pokoknya",positif
Obat ampuh bgt malam makan 2 paginya langsg mens,positif
untuk memperlancar haid yang tidak teratur,positif
Obat ampuh bgt malam makan 2 paginya langsg mens,positif
jamu diminum 3x haid langsung lancar,positif
sangat memuaskan dan mantaaaapppp,positif
Bagus dan Sangat berkhasiat,positif
"Jamunya menjur banget di saya, terimakaih",positif
produk jamu sangat bagus dan manjur,positif
masih belum ada hasil,negatif
"minum belum sampai habis tapi sudah haid, pokoknya jmunya top banget",positif
Sip bngt lah jamu nya baru minum 6 pil langsng M dong makasih seller,positif
"beneran baguus jamunya, sip",positif
"melancarkan haid, cocok bagi yang sering telat datang bulan",positif
bagussss...haid jd lancar banget,positif
sangat memuaskan haid jadi lancar,positif
"Sengaja baru kasih nilai,,nunggu reaksi dulu,,alhamdulillah manjur,, telat 5hr,,minum belum sampai habis sudah dapet haid,,
  Packing rapi,private,pengiriman cepet banget,,cuma beli 1 dapat bonus,,makasih seller",positif
"haid lancar, dan terratur",positif
"efektif banget jamunya, cocok untuk yang sering telat datang bulan",positif
"Manjur Banget, bagus untuk di konsumsi",positif
baru minum 1 kotak blm pengaruh...,negatif
menangani telat datang bulan,positif
"Bener2 ampuh paket Dtg jam 10 langsung aq minum ternyata reaksinya cepat banget jam 2 langsung keluar rasanya lega banget.
  Terima kasih kak",positif
sangat efektif untuk yang telat haid,positif
mempercepat haid,positif
bagi yang telat datang bulan,positif
2 hari setelah minum ini langsung keluar darah menstruasi nya trimakasih kakk..,positif
obat paling ampuh untuk melancarkan haid,positif
jamu telat datang bulan,positif
"Khasiat mantapppp, tdk diragukan lagi",positif
Barang oke kualitas produk sangat bagus tidak mengecewakan,positif
bener bener ampuh banget,positif
Kualitas produk sangat manjur buat mens jadi lancar,positif
jamu peluntur yang sangat bagus dan manjur,positif
Sangat cocok dengan produk ini 😊 next time order lagi,positif
Kualitas produk sangat baik mens jadi lancar,positif
seneng barang bagus mens langsung gacor,positif
Maaf baru kasih ulasan karna mau coba pake dulu dan Alahdmulillah manjur bgt🥰,positif
sangat manjur top banget,positif
"Habis satu box sudah manjur, terimakasih",positif
Berkhasiat banget jamunya,positif
kualitas barang sangat baik,positif
gak ngefek jamunya serius,negatif
"sangat baik, produk original",positif
bisa buat lancarin haid,positif
"gada efek jamunya, sedih banget",negatif
mempelancar haid,positif
Manjur untuk melancarkan haid,positif
"Respon penjual baik, pengiriman baik, Alhamdulillah sudah hbs 24kapsul Tapi blm haid juga Mungkin hormon saya beda,efek KB suntik Terima kasih seller",negatif
Baik produknya dan murah juga harganya. Jamunya bener bener manjut banget😊🙏,positif
"Baru minum 2 kali akhirnya haid juga pdhl udh telat 3 Minggu,bersyukur banget alhamdulillah pokoknya recommended",positif
bagus banget di aku udah telat sebulan dan akhirnya setelah minum jamu nifus Sekarang jadi datang bu,positif
sudah minum 2 hari tapi belum ada tanda tanda mens,negatif
bagus banget aku minum 2x langsung halangan,positif
"bbrpa kali minum lgsg kluar deras, nyeri di perut juga gak lama",positif
Asli bagus banget obat nya cocok banget yang sering telat haid ini,positif
melancarkan haid banget,positif
Manjur...jamunya gokil banget,positif
Manjur... Suka dengan produk ini Dan pastinyaa repeat order,positif
Ngga berhasil ...karena keberhasilan tiap individu berbeda2 ...,negatif
"top bangeeeeet, telat sebulanan.. lgsg halangan",positif
minum 3x belum ada ngefek,negatif
jamu untuk mens terlambat,positif
"Minum sesuai anjuran produk, sehari 2x 4kapsul, langsung haid esok hari nya",positif
"Barang sudah diterima dan sudah diminum, sudah mau habis 2 bungkus tapi blm ada tanda2 jg",negatif
"pahit banget jamunya, tidak enak",negatif
Mantap sekali baru minum 2x langsung keluar,positif
ngaruh sih datang bulan langsung lancar padahal belum habis 1 bungkus,positif
Gak ngefek jamu nifas nya padahal udah aku minum selama 3 hari,negatif
Cocok untuk yang telat haid dan yang mengalami keluhannya,positif
"gak efek, gak haid",negatif
minum ini langsung deres,positif
seger banet jamunya,positif
"Jamunya cocok banget di aku, alhamdulilah baru kali ini haid ga telat🥺, sebelumnya telat terus dan ngalamin pegel². Cuma minum satu pack, alhamdulilah kebantu banget.",positif
Sudah langganan dan cocok buat mengatasi terlambat datang bulan,positif
"tak ada rasanya jamunya,",negatif
Order yg ke 2x nya... Langsung manjur. Rekomen deh pokonya😍,positif
Sudah telat 5 hari minum pertama 1 di pagi hari...malamnya saya langsung min,positif
"kecewa banget tidak ngefek sama sekali,",negatif
"Gak ada efeknya, bikin sakit perut juga",negatif
Top markotop pokok nya. Baru minum 5x langsung bocor🤣🤣,positif
"Emng termantul ini si sejauh ini...
 Coba m kapsul sma tuntas gak ngefek minum ini bru 1 bungkus udh mens dong..sebagus itu....",positif
Udah mau habis 2 pack tapi belum ada tanda² mau haidh 😭,negatif
Mantap jamunya cocok banget di saya lansung manjur,positif
Bagus bgt bru pake 3 hari udh haid,positif
"Mantul bgt, selang 3 hari langsung haid",positif
Terbukti membantu memperlancar haid...terimakasih,positif
Pesenan yg ke 2 x lansung manjur,positif
"Gak ada perubahan, gak ngefek apa apa",negatif
Sudah diminum dua hari tapi belum ada hasilnya,negatif
"Minum 4 hri baru keliatan hasil nya,haid deres",positif
"Alhamdulillah,, minum 2 hari langsung datang bulan.. Padahal sudah telat 6 hari... Terimakasih",positif
"Gak ngefek di aku, padahal saya sudah habis 3 box lebih",negatif
udah minum 2 hari belum ada reaksi,negatif
Enak di badan jadi gak nyeri kalau lagi dapet terus jadi lancar juga👍,positif
"Melancarkan haid, bagus",positif
Udh berkali kali beli dsini langganan banget kalau lagi telat dateng bulan manjur soal nya,positif
"pelancar haid, cocok banget",positif
manjur baget melancarkan haid soal udah 2 bulan ga haid,positif
alhamdulillah... dengan izin Alloh SWT.. baru mnm 1 kali aja hasilnya mantul. 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positif
"Tidak manjur sih, aku udah minum sampe obatnya abis.",negatif
"Ke badan panas, sakit. Tidk ngefek sama sekali",negatif
"Jamu nya ga ampuh sama sekali , udah minum rutin dua box gak ada hasil",negatif
Gak ngefek di saya sudah 2 bungkus habis,negatif
"tdk ada kasiatnya di saya, kecewa",negatif
Habis 2 kotak gak ada kasiat,negatif
Tidak Ada Reaksi Setelah Penggunaan,negatif
Aku udah minum 2 minggu tidak ada hasilnya,negatif
untuk lancarkan datang bulan,positif
Di saya gak cocok baru minum sekali langsung muntah2 kayak mabok kebanyakn dosis. Padahal sesuai cara minum.,negatif
"udah minum udah mau abis, taip gak ada hasil, telat baru 1 minggu",negatif
"gak ada perububahan minum rutin, yg ada badan malah menggemuk, dari bb 51 jadi 60, betis paha pada ngembang, mau nangis, padahal seumur"" gak pernah begini",negatif
Mantap baru 3x minum lagsung haid,positif
Gak ada efek apapun🙏,negatif
"murah bange jamunya, ngefeknya bener2 ngefek",positif
memperlancar datang bulan,positif
"Maaf baru ngasih ulasan🙏🙏,karna aku mau melihat reaksi dari obatnya. Barang datang tgl 28 juni 2023 langsung aku minum jamu ini,dan tgl 2 agustus 2023 akhirnya aku haid juga😊😊. Alhamdulillah jamu ini manjur juga",positif
bagus original jamu,positif
"Cepet sampeknyaa, packaging rapih, dapet bonus jugaa . Stelah mnum smpek abis selama 3 hari, trus besoknya mens alhamdulillah, pdahal telat mens 2 minggu . Dan pas mens juga bneran jdi ga sakit, pdahal biasanya selal",positif
Aku udah pake jamu ini dan manjur.,positif
Cocok banget kalau lagi telat datang bulan,positif
Udah habis 1 kotak tapi gak mempan sama aku,negatif
"Mantul banget produknya, baru 1x minum sdh bisa haid.....perut sdh TDK nyeri dan darah yg di keluar jadi lancar banget. Terimakasih",positif
Top banget 3 kali minum dah deres banget. Awalnya badan pegel-pegel setelah minum dah gak lagi,positif
"manjur di aku, sekali minum langsung haid ya",positif
Habis 1 bungkus tidak ada hasilnya,negatif
untuk kesekian x nya beli ini untuk mlancarkan haid yang telat tapi nih saya bener2 udah ga mempan karena udah minum 3 bungkus terus saya beli toko laen juga 1 botol tapi tetap gak keluar haid..,negatif
Rekomdasikan bngt baru minum lngsung haid. .insaalloh order lg sini. Trimakasih semoga tokonya makin maju😍😍,positif
trimakasih kakak...stelah minum abis 2 pak akirnya yang di tunggu2 datang juga😍😍😍😍,positif
Alhamdulillah baru minum 1 hari. Langsung bocor..qodarulloh . Trims bonusnya.,positif
Kayaknya GAK cocok buat aku.telat mens 3 mnggu hbs 5 bngkus...GAK ada efek,negatif
Habis 2 kotak tidak ada perubahan tidak juga haid,negatif
"Gak ada hasil nya udah abis 1 dus juga,,,",negatif
Udah habis 1 bungkus tapi belum ada efeknya,negatif
Cocok setelah 3 hari minum rutin,positif
"Emng termantul ini si sejauh ini...
 Coba m kapsul sma tuntas gak ngefek minum ini bru 1 bungkus udh mens dong..sebagus itu....",positif
Udah mau habis 2 pack tapi belum ada tanda² mau haid 😭,negatif
Udh abis 3 bungkus tapi masih nihil kak☹️,negatif
"Bismillah semoga segera haid lagi..
 Dulu sudah pernah kosumsi abis 2 bungkus haid, semoga kali ini juga segera haid..trimakasih kak🙏🙏🙏",positif
Mantul 1 bulan ga haid Minum pil ini sekali langsung haid,positif
kenapa di aku gak manjur ya huhu padahal udah minum sampai habis:(,negatif
"Saya minum habis 1 bungkus sampe sekarang tidak haid juga :(, sedih",negatif
Bisa melancarkan haid saya yang gak teratur,positif
"Kualitas produk sangat baik. 
 Produk original. 
 Harga produk sangat baik. 
 Kecepatan pengiriman sangat baik. 
 Respon penjual sangat baik.",positif
"Telat 2 minggu, tetap gak berkhasiat.",negatif
"tidak berkhasiat, saya kecewa",negatif
Pengiriman sangat cepat respon penjula sangat baik produk original. Thankyou seller,positif
Manjur...mantul banget jamunya dan Sudah langganan....,positif
"tidak berkhasiat, tidak ngefek, dahlah kecewa banget",negatif
Melancarkan datang bulan,positif
Alhamdulillah baru satu bungkus udh datang bulan saya makasih kak manjur sekali,positif
Alhamdulillah 4 harian minum langsung haid lancar udah telat lebih 3 minggu,positif
"manjur banget jamunya, toppp banget",positif
"Baru di coba 1 minggu sudah manjur, sip pokoknya deh",positif
Aku minum sampai habis dan sampai sekarang belum juga datang bulan 😥,negatif
GAK ad reaksinya UDAH 2 kotak hahis,negatif
Udah di minum sampai hbs kok blm menstruasi yaa..saya udah 5 bulan ini belum datang bulan,negatif
obat dah abis tapi masih belum haid juga🤦 obatnya gak berfungsi☹️🙏,negatif
"kapsul nya udh mau habis KAK sisa 4 tablet lagi ,saya kira harus habis dulu baru ada reaksi nya , dikira head nya bakalan lancar ,tapi ini ko gak ada reaksi apa"" ya kak ?? biasa"" aja gitu",negatif
SUDAH TERBUKTI!!! Bukan rekayasa semata. terima kasih gan atas kwalitas produknya... saya sudah 2x order manjur banget,positif
"tgl 9 Mar malam saya mulai minum rutin 4 kapsul pagi dan 4 kasul malam, dan tanggal 11 Mar malam saya dapat mens.
 
 recommended product👌",positif
maaf baru kasih ulusan jamu mujarab saya suka krna sy cocok dgn jamu ini makasih ya kak🙏,positif
udah minum yang ke 2 bungkus tatap saja tidak ada hasilnya,negatif
gatau benr ngefek ke tubuh org/ga ya prnh awal beli krna ga haid 5bulan gt ps minum abis bru dapet dlem 1 bulan keluar 2minggu lebh. trs pesen lg skrg bru mnm smlm skrg paginy dateng 😊😊,positif
selalu puas belanja di toko ini... cocok sama jamunya. di kasih free sari rapet.. makasih seller..,positif
"Tidak ada reaksinya,, udah tinggal 4 kapsul lagi sekali minum aja...",negatif
"Barang datang hr kamis sore jam 3,lagsung aja aku minum 4 kapsul..Dan alhamdulillah jumat jam 1 siang dapet mens deh 😊manjur bangt ini jamu, recomended banget 👍👍👍",positif
"sorry baru kasih ulasan, obat nya mantull pokok nya mah 👍 baru 2kali minum keesokan hari nya langsung dapet head mantap lah👍",positif
"Baru 1 hari minum 8 kapsul langsung mens 😚 bnr"" mujarab ampuh kak baru nemu obat seampuh ini ❤ biasanya aku pake obat yg lain pelancar hed ga ampuh"" tapi ini mh 1 hari doang udh ampuh good mksh lazada dan seller❤",positif
"maaf baru kasih ulasan, pas datang langsung saya minum sesuai aturan dan hari k 2 lsg keluar nya siang, lalu saya terusin minum obat badan terasa enak dkit pinggang pun hilang mantap pkonya👍",positif
pesan 2X mujarab sip pokoknya privasi juga terjaga,positif
"kecewa banget jamunya tidak ada reaksi apa apa, sedih",negatif
obat nya udah sisa 4 tapi blm juga dapet2 kenapa ya .. 😦😦😦😦,negatif
"bener"" manjur baru minum sekali langsung dapet",positif
udah minum 2x tapi blum ada reaksi ya..,negatif
Untuk yang kedua kalinya beli toner.secinta itu sama ini produk bener2 bikin wajahku cerah terus bekas jerawat juga udah mulai pudar,positif
maaf baru ngasih ulasan sy pengen tau ada kasiatnya ngga .ternyata biasa ja...gada reaksi.,negatif
Jamunya mantul.. malam minum pagi minum baru 2 kali minum siangnya langsung haid padahal udah telat 2 Minggu.,positif
barang nya sdh dtg aku sdh minum 2 hari tpi kok blm ada hasilnya,negatif
mantappp udh talat 2 minggu mnum dngn tratur bgitu abis langsung keluar👍👍pokokke mantul dweh,positif
blum di coba smoga ja ccok. tpi aq udah bli yg 5 x nya si akhir nya haed juga. mas kurir nya baik,positif
